22,11,2014,151,2950,1615.61,178,1148
10,8,2000,192,1039,2793.72,134,1829
28,8,2013,100,1573,2295.66,145,1447
27,9,2021,133,2342,1055.24,,
24,10,2003,100,1987,-4029.94,162,2509
14,10,2018,197,1355,-504.478,157,1799
24,6,2013,173,1250,-3710.48,144,1416
27,5,2020,192,2596,-1831.58,113,1908
17,11,2017,134,2908,977.31,,
11,10,2012,185,1719,2643.92,146,1439
12,2,2017,158,2682,2672.94,191,2846
27,10,2021,135,1734,-4265.98,167,2349
21,4,2012,130,2588,3313.93,108,1416
5,4,2007,125,1681,-1368.29,184,2544
7,5,2023,131,1707,-2756.21,186,1904
14,7,2008,100,1203,-2787.93,197,2099
11,12,2016,119,1490,-1040.55,173,2313
23,5,2023,188,2085,-4565.56,131,2532
5,2,2023,136,1971,4593.58,,
4,6,2007,182,2413,-258.805,169,2071
6,6,2018,133,2315,4155.27,146,1827
5,12,2001,161,2270,-2373.04,132,2062
9,5,2021,116,1634,-3992.46,135,1568
14,4,2001,130,1623,-309.655,153,2422
27,7,2006,181,2606,4915.1,168,2816
18,8,2001,196,1050,-4833.17,175,1083
29,11,2006,142,2882,-1602.3,194,1731
21,6,2007,108,1275,4066.56,166,1635
15,9,2005,176,1285,-4813.35,185,1231
7,2,2016,164,2175,-2349.24,101,2184
23,8,2005,161,2083,826.096,146,1955
27,9,2008,151,1747,-4501.79,116,2135
4,1,2017,182,1841,4917.23,151,1251
23,9,2009,196,1108,-4158.91,115,2030
22,1,2013,108,1213,4466.05,,
30,11,2005,105,1609,-821.706,168,1548
19,3,2015,123,1321,-3268.58,187,1425
7,3,2015,158,1868,-2541.86,123,2638
13,3,2001,103,2829,1871.84,,
28,9,2007,108,1622,-2785.72,140,2024
11,7,2010,138,1011,2998.09,124,2854
6,12,2003,173,2772,-3689.62,,
16,8,2014,182,2314,-67.2094,102,2892
27,3,2011,114,2299,2501.41,130,1351
17,6,2000,186,1792,-244.631,124,2635
3,12,2023,148,2743,723.847,184,1570
16,8,2022,113,1746,3397.99,199,2486
24,10,2013,130,2387,-2648,152,1773
15,11,2009,180,2511,-826.964,170,2774
21,9,2005,119,2200,-2130.37,174,1218
25,6,2003,183,2459,-2569.71,,
7,9,2006,134,1401,-2866.95,150,1303
8,12,2000,125,2838,3586.81,173,1259
30,7,2011,142,1305,4373.56,160,1129
9,4,2010,172,2354,1734.12,,
22,11,2001,154,1991,1979.58,,
20,12,2002,170,1662,-1276.44,118,1968
19,9,2015,177,1756,-3887.68,126,2354
10,2,2004,164,1662,3184.79,144,1479
27,5,2016,185,1516,-4849.58,122,1269
20,11,2019,181,2484,3770.58,117,1384
10,7,2016,100,2670,-3879.32,196,1387
18,8,2002,177,1555,-2627.38,140,1150
14,3,2008,188,2918,-3865.6,170,2619
22,3,2001,125,1759,4658.14,175,2964
24,8,2023,172,1706,1635.76,198,1061
27,7,2003,110,1964,3137.4,145,2151
13,12,2023,151,2298,1644.06,195,1711
5,2,2022,100,1222,-3695.13,196,2295
11,2,2001,167,1549,-2048.87,,
29,1,2014,111,2102,4472.81,,
26,5,2004,186,2543,-2100.38,121,1685
20,3,2006,131,1210,4085.09,136,1126
10,8,2004,196,2626,-3669.97,102,1157
19,1,2005,105,1174,952.497,187,1401
20,5,2023,107,2395,-162.888,166,2642
27,2,2015,189,2313,-779.961,163,2966
18,6,2007,158,2144,3616.09,159,2782
20,4,2009,141,1602,-4421.43,182,1673
17,9,2011,190,1327,-465.42,,
8,2,2010,104,1362,-1103.39,126,2904
26,6,2001,181,1500,-1507.1,161,1772
30,1,2006,100,1944,-3220.65,,
27,3,2009,171,1026,-2068.04,,
27,12,2002,138,2291,2400.57,,
14,10,2001,176,1486,-727.278,121,1495
19,10,2003,100,2418,-147.684,118,2972
9,6,2015,150,1547,4090.97,126,1233
28,1,2023,158,2752,384.476,164,1198
13,4,2016,161,1401,-4696.63,,
18,10,2009,136,2243,3675.12,109,2398
30,10,2021,146,2669,1632.2,187,2547
27,1,2016,122,1526,1619.12,,
20,3,2018,176,2661,2212.41,132,1265
4,1,2012,133,1851,281.713,101,1762
28,12,2010,137,1772,3237.9,101,2782
19,4,2005,176,2512,4174.97,179,1152
20,10,2010,142,1378,-4536.25,193,2808
1,1,2021,141,1366,-615.58,173,1706
17,7,2004,130,1820,2596.22,161,1261
25,8,2007,128,1923,311.509,,
